,location_id,borough,zone,service_zone,cleaned_zone,coordinates,latitude,longitude
180,181,Brooklyn,Park Slope,Boro Zone,Park Slope,"(40.6701033, -73.9859723)",40.6701033,-73.9859723
181,182,Bronx,Parkchester,Boro Zone,Parkchester,"(40.8332047, -73.8609723)",40.8332047,-73.8609723
182,183,Bronx,Pelham Bay,Boro Zone,Pelham Bay,"(40.8505556, -73.8333333)",40.8505556,-73.8333333
183,184,Bronx,Pelham Bay Park,Boro Zone,Pelham Bay Park,"(40.871355550000004, -73.8117925755334)",40.871355550000004,-73.8117925755334
184,185,Bronx,Pelham Parkway,Boro Zone,Pelham Parkway,"(40.857229, -73.8676281)",40.857229,-73.8676281
185,186,Manhattan,Penn Station,Yellow Zone,Penn Station,"(40.7503468, -73.991203)",40.7503468,-73.991203
186,187,Staten Island,Port Richmond,Boro Zone,Port Richmond,"(40.6331592, -74.1365318)",40.6331592,-74.1365318
187,188,Brooklyn,Prospect Lefferts Gardens,Boro Zone,Prospect Lefferts Gardens,,,
188,189,Brooklyn,Prospect Heights,Boro Zone,Prospect Heights,"(40.6778708, -73.9684725)",40.6778708,-73.9684725
189,190,Brooklyn,Prospect Park,Boro Zone,Prospect Park,"(40.661774300000005, -73.97108902901994)",40.661774300000005,-73.97108902901994
190,191,Queens,Queens Village,Boro Zone,Queens Village,"(40.7267692, -73.7415208)",40.7267692,-73.7415208
191,192,Queens,Queensboro Hill,Boro Zone,Queensboro Hill,"(41.27181686759779, -74.02741957851919)",41.27181686759779,-74.02741957851919
192,193,Queens,Queensbridge/Ravenswood,Boro Zone,Ravenswood,"(40.7610409, -73.9379883)",40.7610409,-73.9379883
193,194,Manhattan,Randalls Island,Yellow Zone,Randalls Island,"(40.7967677, -73.9220815)",40.7967677,-73.9220815
194,195,Brooklyn,Red Hook,Boro Zone,Red Hook,"(41.9950819, -73.8755918)",41.9950819,-73.8755918
195,196,Queens,Rego Park,Boro Zone,Rego Park,"(40.72286495, -73.86210252803048)",40.72286495,-73.86210252803048
196,197,Queens,Richmond Hill,Boro Zone,Richmond Hill,"(40.6994253, -73.8309672)",40.6994253,-73.8309672
197,198,Queens,Ridgewood,Boro Zone,Ridgewood,"(40.7080556, -73.9141667)",40.7080556,-73.9141667
198,199,Bronx,Rikers Island,Boro Zone,Rikers Island,"(40.79193175, -73.88349371727949)",40.79193175,-73.88349371727949
199,200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,Riverdale,"(40.90056, -73.90639)",40.90056,-73.90639
200,201,Queens,Rockaway Park,Boro Zone,Rockaway Park,"(40.57945475, -73.83539555362017)",40.57945475,-73.83539555362017
201,202,Manhattan,Roosevelt Island,Boro Zone,Roosevelt Island,"(40.76133675, -73.95028526170718)",40.76133675,-73.95028526170718
202,203,Queens,Rosedale,Boro Zone,Rosedale,"(40.6620479, -73.7354097)",40.6620479,-73.7354097
203,204,Staten Island,Rossville/Woodrow,Boro Zone,Woodrow,"(40.5434385, -74.1976441)",40.5434385,-74.1976441
204,205,Queens,Saint Albans,Boro Zone,Saint Albans,"(40.6984364, -73.7606881)",40.6984364,-73.7606881
205,206,Staten Island,Saint George/New Brighton,Boro Zone,New Brighton,"(40.6423258, -74.0929195)",40.6423258,-74.0929195
206,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,Woodside,"(40.7453798, -73.9054145)",40.7453798,-73.9054145
207,208,Bronx,Schuylerville/Edgewater Park,Boro Zone,Edgewater Park,"(44.6000601, -75.6349568)",44.6000601,-75.6349568
208,209,Manhattan,Seaport,Yellow Zone,Seaport,"(40.7057505, -74.0029056)",40.7057505,-74.0029056
209,210,Brooklyn,Sheepshead Bay,Boro Zone,Sheepshead Bay,"(40.5912161, -73.9445822)",40.5912161,-73.9445822
210,211,Manhattan,SoHo,Yellow Zone,SoHo,"(40.72288, -73.9987505)",40.72288,-73.9987505
211,212,Bronx,Soundview/Bruckner,Boro Zone,Bruckner,"(40.8266667, -73.8286111)",40.8266667,-73.8286111
212,213,Bronx,Soundview/Castle Hill,Boro Zone,Castle Hill,"(40.8189076, -73.8499209)",40.8189076,-73.8499209
213,214,Staten Island,South Beach/Dongan Hills,Boro Zone,Dongan Hills,"(40.588438, -74.0962528)",40.588438,-74.0962528
214,215,Queens,South Jamaica,Boro Zone,South Jamaica,"(40.69562345, -73.79418630363637)",40.69562345,-73.79418630363637
215,216,Queens,South Ozone Park,Boro Zone,South Ozone Park,"(40.6701035, -73.8190231)",40.6701035,-73.8190231
216,217,Brooklyn,South Williamsburg,Boro Zone,South Williamsburg,"(40.70870855, -73.97022191618456)",40.70870855,-73.97022191618456
217,218,Queens,Springfield Gardens North,Boro Zone,Springfield Gardens,"(40.678159, -73.746521)",40.678159,-73.746521
218,219,Queens,Springfield Gardens South,Boro Zone,Springfield Gardens,"(40.678159, -73.746521)",40.678159,-73.746521
219,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,Kingsbridge,"(40.8787051, -73.9051408)",40.8787051,-73.9051408
220,221,Staten Island,Stapleton,Boro Zone,Stapleton,"(40.6264774, -74.0776361)",40.6264774,-74.0776361
221,222,Brooklyn,Starrett City,Boro Zone,Starrett City,"(40.6478738, -73.87951922227273)",40.6478738,-73.87951922227273
222,223,Queens,Steinway,Boro Zone,Steinway,"(40.7745459, -73.9037477)",40.7745459,-73.9037477
